exp_0,exp_1,exp_2,exp_3,exp_4
29.0,48.0,,8.0,
37.0,54.0,32.0,13.0,4.0
47.0,69.0,35.0,16.0,5.0
57.0,83.0,41.0,19.0,6.0
63.0,99.0,47.0,21.0,7.0
71.0,114.0,54.0,23.0,9.0
77.0,122.0,62.0,26.0,11.0
84.0,137.0,69.0,28.0,13.0
92.0,153.0,74.0,33.0,14.0
88.0,162.0,79.0,35.0,14.0
87.0,167.0,76.0,39.0,15.0
82.0,168.0,74.0,39.0,14.0
83.0,172.0,71.0,43.0,15.0
79.0,168.0,73.0,47.0,14.0
82.0,162.0,77.0,50.0,13.0
85.0,160.0,85.0,51.0,14.0
85.0,155.0,87.0,61.0,15.0
75.0,160.0,98.0,63.0,14.0
75.0,161.0,107.0,68.0,12.0
69.0,152.0,109.0,70.0,13.0
72.0,143.0,109.0,70.0,13.0
64.0,140.0,109.0,65.0,11.0
64.0,135.0,105.0,62.0,11.0
70.0,141.0,108.0,62.0,11.0
72.0,141.0,103.0,62.0,12.0
67.0,146.0,99.0,60.0,12.0
68.0,142.0,95.0,56.0,11.0
76.0,136.0,94.0,53.0,14.0
75.0,139.0,86.0,53.0,15.0
68.0,133.0,87.0,52.0,17.0
73.0,131.0,93.0,54.0,17.0
73.0,134.0,90.0,58.0,18.0
73.0,144.0,85.0,57.0,20.0
70.0,137.0,85.0,55.0,20.0
74.0,134.0,84.0,57.0,20.0
74.0,134.0,84.0,57.0,20.0
75.0,138.0,89.0,52.0,19.0
75.0,131.0,87.0,50.0,17.0
79.0,138.0,87.0,43.0,17.0
78.0,134.0,88.0,36.0,15.0
79.0,128.0,87.0,30.0,14.0
76.0,129.0,91.0,28.0,12.0
80.0,126.0,89.0,29.0,9.0
84.0,127.0,84.0,27.0,11.0
85.0,121.0,83.0,29.0,10.0
81.0,120.0,78.0,26.0,10.0
75.0,119.0,82.0,23.0,11.0
74.0,120.0,79.0,27.0,11.0
76.0,112.0,79.0,29.0,12.0
64.0,111.0,81.0,27.0,12.0
59.0,101.0,81.0,27.0,16.0
64.0,101.0,73.0,26.0,18.0
67.0,109.0,69.0,25.0,16.0
68.0,114.0,75.0,29.0,18.0
66.0,114.0,71.0,27.0,20.0
66.0,120.0,72.0,28.0,19.0
63.0,118.0,75.0,27.0,19.0
64.0,109.0,75.0,26.0,19.0
67.0,108.0,72.0,28.0,18.0
72.0,109.0,71.0,30.0,16.0
72.0,113.0,71.0,31.0,14.0
71.0,114.0,71.0,33.0,15.0
67.0,109.0,64.0,34.0,15.0
68.0,105.0,72.0,34.0,14.0
66.0,100.0,69.0,37.0,11.0
68.0,86.0,68.0,39.0,12.0
67.0,80.0,70.0,38.0,12.0
65.0,76.0,68.0,35.0,11.0
65.0,73.0,74.0,33.0,11.0
63.0,65.0,78.0,33.0,14.0
66.0,65.0,74.0,31.0,14.0
68.0,57.0,73.0,24.0,16.0
68.0,53.0,67.0,23.0,16.0
65.0,46.0,71.0,20.0,16.0
65.0,42.0,71.0,22.0,15.0
67.0,44.0,71.0,22.0,15.0
65.0,45.0,68.0,25.0,15.0
62.0,40.0,64.0,26.0,16.0
63.0,39.0,69.0,24.0,11.0
63.0,34.0,73.0,26.0,13.0
60.0,34.0,72.0,22.0,14.0
56.0,35.0,71.0,20.0,15.0
55.0,37.0,76.0,20.0,15.0
52.0,36.0,67.0,22.0,16.0
51.0,39.0,62.0,23.0,16.0
50.0,36.0,63.0,23.0,18.0
41.0,35.0,67.0,22.0,20.0
40.0,31.0,66.0,25.0,24.0
38.0,33.0,68.0,28.0,20.0
36.0,34.0,69.0,30.0,20.0
37.0,31.0,69.0,28.0,21.0
33.0,26.0,64.0,28.0,20.0
27.0,25.0,65.0,29.0,21.0
21.0,23.0,64.0,29.0,21.0
21.0,25.0,61.0,27.0,19.0
23.0,26.0,61.0,27.0,18.0
19.0,25.0,63.0,27.0,17.0
22.0,25.0,72.0,28.0,16.0
21.0,24.0,72.0,26.0,16.0
18.0,21.0,71.0,28.0,14.0
17.0,22.0,74.0,27.0,15.0
17.0,22.0,75.0,20.0,13.0
19.0,22.0,70.0,21.0,14.0
22.0,24.0,71.0,23.0,13.0
20.0,23.0,70.0,24.0,11.0
19.0,23.0,71.0,24.0,12.0
15.0,22.0,69.0,21.0,12.0
13.0,21.0,77.0,21.0,11.0
15.0,20.0,80.0,17.0,11.0
14.0,19.0,78.0,15.0,10.0
15.0,18.0,74.0,16.0,8.0
14.0,17.0,78.0,17.0,10.0
14.0,16.0,74.0,15.0,12.0
13.0,13.0,70.0,15.0,13.0
13.0,11.0,71.0,15.0,14.0
15.0,11.0,68.0,14.0,15.0
17.0,12.0,70.0,13.0,15.0
20.0,8.0,68.0,12.0,15.0
18.0,6.0,62.0,10.0,15.0
19.0,5.0,66.0,9.0,15.0
18.0,5.0,67.0,10.0,13.0
20.0,4.0,65.0,10.0,10.0
20.0,4.0,68.0,13.0,11.0
18.0,4.0,70.0,12.0,11.0
18.0,4.0,68.0,12.0,13.0
20.0,3.0,71.0,12.0,11.0
17.0,3.0,78.0,14.0,9.0
15.0,5.0,77.0,17.0,8.0
15.0,4.0,75.0,17.0,7.0
14.0,4.0,75.0,15.0,7.0
11.0,4.0,80.0,16.0,8.0
12.0,4.0,82.0,15.0,8.0
10.0,4.0,81.0,12.0,9.0
7.0,4.0,82.0,11.0,9.0
7.0,3.0,87.0,10.0,9.0
4.0,3.0,84.0,12.0,8.0
5.0,3.0,82.0,10.0,9.0
7.0,1.0,83.0,9.0,9.0
9.0,1.0,83.0,11.0,9.0
